Number_of_Travelers,Budget,Area_of_Interest,Warm,Transportation_Mode,Recommendation
8,33000,Beach,Warm,Bikes,"Bentota Beach, Bentota"
5,50000,Historical Site,Moderate,Car,"Kuttam Pokuna, Anuradhapura"
4,120000,Lakeside,Moderate,Public Transport,"Kala Wewa, Anuradhapura"
14,22000,Forest,Tropical,Bikes,"Badulla Forest, Badulla"
16,25000,Forest,Tropical,Public Transport,"Kanneliya Forest Reserve, Galle"
8,60000,Forest,Tropical,Public Transport,"Bopath Ella, Kuruwita"
4,6000,Mountains,Cool,Public Transport,"Baker's Falls, Horton Plains"
14,120000,Lakeside,Moderate,Bikes,"Parakrama Samudra, Polonnaruwa"
18,150000,Lakeside,Moderate,Public Transport,"Victoria Reservoir, Kandy"
14,35000,National Park,Warm,Public Transport,"Wasgamuwa National Park, Wasgamuwa"
7,45000,Forest,Tropical,Bikes,"Bopath Ella, Kuruwita"
14,160000,Historical Site,Moderate,Bikes,"Aluvihare Rock Temple, Matale"
18,60000,Historical Site,Moderate,Public Transport,"Sigiriya Rock Fortress, Sigiriya"
17,80000,Mountains,Cool,Public Transport,"Little Adam's Peak, Ella"
20,55000,Mountains,Cool,Rosa Bus,"Thotupola Kanda, Nuwara Eliya"
18,65000,Desert,Hot,Public Transport,"Delft Island, Jaffna"
10,45000,Mountains,Cool,Bikes,"Ravana Falls, Ella"
10,28000,City,Warm,Rosa Bus,"Trincomalee City, Trincomalee"
7,55000,Historical Site,Moderate,Bikes,"Manavari Temple, Chilaw"
4,16000,Desert,Hot,Car,"Delft Island, Jaffna"
15,160000,Beach,Warm,Bikes,"Bentota Beach, Bentota"
23,120000,Lakeside,Moderate,Bikes,"Kandy Lake, Kandy"
2,60000,Lakeside,Moderate,Public Transport,"Madu River, Balapitiya"
8,48000,Mountains,Cool,Van,"Lipton�s Seat, Haputale"
7,45000,Beach,Warm,Bikes,"Marble Beach, Trincomalee"
9,50000,Beach,Warm,Rosa Bus,"Beruwala Beach, Beruwala"
15,58000,Lakeside,Moderate,Bikes,"Kandy Lake, Kandy"
25,90000,City,Moderate,Rosa Bus,"Kandy City, Kandy"
13,50000,Beach,Warm,Rosa Bus,"Negombo Beach, Negombo"
21,33000,Lakeside,Moderate,Public Transport,"Kala Wewa, Anuradhapura"
2,120000,Beach,Warm,Car,"Mirissa Beach, Mirissa"
15,44000,Desert,Hot,Rosa Bus,"Delft Island, Jaffna"
13,68000,Mountains,Cool,Rosa Bus,"Nine Arches Bridge, Ella"
5,18000,Forest,Tropical,Bikes,"Hiyare Reservoir, Galle"
1,6000,Lakeside,Moderate,Van,"Koggala Lake, Koggala"
24,110000,Desert,Hot,Bikes,"Delft Island, Jaffna"
16,18000,Forest,Tropical,Public Transport,"Bopath Ella, Kuruwita"
24,60000,Forest,Tropical,Rosa Bus,"Badulla Forest, Badulla"
7,68000,Lakeside,Moderate,Van,"Beira Lake, Colombo"
23,25000,Desert,Hot,Bikes,"Delft Island, Jaffna"
4,44000,Lakeside,Moderate,Car,"Victoria Reservoir, Kandy"
14,50000,Desert,Hot,Bikes,"Delft Island, Jaffna"
5,14000,Mountains,Cool,Car,"Thotupola Kanda, Nuwara Eliya"
9,190000,National Park,Warm,Public Transport,"Hikkaduwa National Park, Hikkaduwa"
16,65000,Historical Site,Moderate,Public Transport,"Galle Fort, Galle"
4,13000,Beach,Warm,Car,"Uppuveli Beach, Trincomalee"
11,28000,National Park,Warm,Van,"Hikkaduwa National Park, Hikkaduwa"
20,28000,Historical Site,Moderate,Bikes,"Kuttam Pokuna, Anuradhapura"
2,45000,National Park,Warm,Car,"Kaudulla National Park, Polonnaruwa"
1,2900,National Park,Warm,Van,"Wasgamuwa National Park, Wasgamuwa"
25,40000,Historical Site,Moderate,Rosa Bus,"Sigiriya Rock Fortress, Sigiriya"
6,58000,City,Moderate,Public Transport,"Negombo City, Negombo"
22,110000,Mountains,Cool,Public Transport,"Kirigalpotta, Nuwara Eliya"
9,22000,Lakeside,Moderate,Public Transport,"Kala Wewa, Anuradhapura"
23,140000,National Park,Warm,Rosa Bus,"Wasgamuwa National Park, Wasgamuwa"
3,7000,Mountains,Cool,Car,"Devon Falls, Nuwara Eliya"
19,50000,Forest,Tropical,Rosa Bus,"Sinharaja Forest Reserve, Deniyaya"
22,110000,Mountains,Cool,Bikes,"Devon Falls, Nuwara Eliya"
7,65000,City,Hot,Public Transport,"Jaffna City, Jaffna"
14,180000,City,Moderate,Bikes,"Negombo City, Negombo"
9,11000,Historical Site,Moderate,Public Transport,"Mihintale, Mihintale"
21,70000,National Park,Warm,Public Transport,"Yala National Park, Yala"
16,44000,Historical Site,Moderate,Rosa Bus,"Jetavanaramaya, Anuradhapura"
6,35000,National Park,Warm,Rosa Bus,"Wilpattu National Park, Wilpattu"
5,20000,Desert,Hot,Rosa Bus,"Delft Island, Jaffna"
12,140000,Forest,Tropical,Van,"Kanneliya Forest Reserve, Galle"
24,140000,Historical Site,Moderate,Rosa Bus,"Polonnaruwa, Polonnaruwa"
4,20000,Beach,Warm,Rosa Bus,"Bentota Beach, Bentota"
13,70000,Lakeside,Moderate,Bikes,"Beira Lake, Colombo"
1,70000,National Park,Warm,Bikes,"Gal Oya National Park, Ampara"
15,38000,Historical Site,Moderate,Rosa Bus,"Manavari Temple, Chilaw"
1,3100,Lakeside,Moderate,Public Transport,"Bolgoda Lake, Colombo"
10,28000,Beach,Warm,Bikes,"Mount Lavinia Beach, Mount Lavinia"
19,35000,Lakeside,Moderate,Bikes,"Handapanagala Lake, Wellawaya"
24,38000,Beach,Warm,Public Transport,"Weligama Beach, Weligama"
19,100000,Desert,Hot,Public Transport,"Delft Island, Jaffna"
7,40000,Historical Site,Moderate,Public Transport,"Sigiriya Rock Fortress, Sigiriya"
23,85000,Beach,Warm,Public Transport,"Hikkaduwa Beach, Hikkaduwa"
20,24000,Lakeside,Moderate,Rosa Bus,"Kala Wewa, Anuradhapura"
22,110000,Historical Site,Moderate,Bikes,"Kuttam Pokuna, Anuradhapura"
5,38000,Historical Site,Moderate,Bikes,"Dambulla Cave Temple, Dambulla"
17,35000,Historical Site,Moderate,Bikes,"Polonnaruwa, Polonnaruwa"
1,1500,Forest,Tropical,Public Transport,"Badulla Forest, Badulla"
7,90000,Beach,Warm,Van,"Weligama Beach, Weligama"
13,68000,Desert,Hot,Rosa Bus,"Delft Island, Jaffna"
1,13000,Mountains,Cool,Rosa Bus,"Little Adam's Peak, Ella"
3,10500,Mountains,Warm,Car,"Ritigala, Ritigala"
19,44000,City,Hot,Bikes,"Jaffna City, Jaffna"
17,85000,Forest,Tropical,Bikes,"Dunhinda Falls, Badulla"
5,25000,Mountains,Cool,Rosa Bus,"Horton Plains National Park, Nuwara Eliya"
17,90000,Desert,Hot,Rosa Bus,"Delft Island, Jaffna"
7,17000,City,Moderate,Van,"Matara City, Matara"
21,85000,Historical Site,Moderate,Bikes,"Jetavanaramaya, Anuradhapura"
7,12000,Beach,Warm,Rosa Bus,"Dickwella Beach, Dickwella"
19,44000,Desert,Hot,Bikes,"Delft Island, Jaffna"
16,68000,Desert,Hot,Bikes,"Delft Island, Jaffna"
1,2000,Desert,Hot,Public Transport,"Delft Island, Jaffna"
21,33000,National Park,Warm,Bikes,"Kaudulla National Park, Polonnaruwa"
8,200000,Desert,Hot,Van,"Delft Island, Jaffna"
22,70000,Mountains,Cool,Public Transport,"Knuckles Mountain Range, Kandy"
14,75000,Mountains,Cool,Bikes,"Baker's Falls, Horton Plains"
14,75000,National Park,Warm,Public Transport,"Kaudulla National Park, Polonnaruwa"
13,100000,Forest,Tropical,Bikes,"Kanneliya Forest Reserve, Galle"
3,40000,Forest,Tropical,Car,"Kottawa Arboretum, Galle"
22,110000,Mountains,Cool,Bikes,"Lipton�s Seat, Haputale"
10,35000,Beach,Warm,Bikes,"Tangalle Beach, Tangalle"
7,20000,Lakeside,Moderate,Bikes,"Madu River, Balapitiya"
13,68000,Historical Site,Moderate,Public Transport,"Dambulla Cave Temple, Dambulla"
17,170000,Beach,Warm,Public Transport,"Jungle Beach, Unawatuna"
17,100000,Historical Site,Moderate,Rosa Bus,"Mihintale, Mihintale"
2,90000,Historical Site,Moderate,Car,"Anuradhapura, Anuradhapura"
21,80000,Desert,Hot,Public Transport,"Delft Island, Jaffna"
20,85000,Historical Site,Moderate,Bikes,"Sigiriya Rock Fortress, Sigiriya"
15,50000,Forest,Tropical,Bikes,"Sinharaja Forest Reserve, Deniyaya"
17,38000,Lakeside,Moderate,Public Transport,"Madu River, Balapitiya"
21,25000,Mountains,Warm,Bikes,"Pidurangala, Sigiriya"
14,160000,Lakeside,Moderate,Bikes,"Koggala Lake, Koggala"
1,13000,Mountains,Cool,Van,"Diyatalawa, Badulla"
4,80000,Desert,Hot,Bikes,"Delft Island, Jaffna"
24,48000,Forest,Tropical,Rosa Bus,"Makandawa Forest Reserve, Kitulgala"
19,28000,Desert,Hot,Rosa Bus,"Delft Island, Jaffna"
4,28000,Forest,Tropical,Public Transport,"Kanneliya Forest Reserve, Galle"
8,68000,Beach,Warm,Van,"Negombo Beach, Negombo"
12,140000,Desert,Hot,Public Transport,"Delft Island, Jaffna"
9,150000,Lakeside,Moderate,Public Transport,"Handapanagala Lake, Wellawaya"
16,38000,City,Hot,Rosa Bus,"Jaffna City, Jaffna"
9,60000,Mountains,Cool,Rosa Bus,"Knuckles Mountain Range, Kandy"
12,20000,Beach,Warm,Rosa Bus,"Hikkaduwa Beach, Hikkaduwa"
10,30000,Beach,Warm,Rosa Bus,"Uppuveli Beach, Trincomalee"
19,140000,Historical Site,Moderate,Bikes,"Sigiriya Rock Fortress, Sigiriya"
8,38000,City,Hot,Van,"Jaffna City, Jaffna"
4,160000,Desert,Hot,Bikes,"Delft Island, Jaffna"
7,150000,National Park,Warm,Van,"Hikkaduwa National Park, Hikkaduwa"
2,4000,Desert,Hot,Car,"Delft Island, Jaffna"
24,120000,Desert,Hot,Public Transport,"Delft Island, Jaffna"
9,80000,Mountains,Cool,Rosa Bus,"Horton Plains National Park, Nuwara Eliya"
14,19000,Mountains,Cool,Bikes,"Lipton�s Seat, Haputale"
11,17000,City,Moderate,Public Transport,"Ratnapura City, Ratnapura"
17,24000,Historical Site,Moderate,Public Transport,"Manavari Temple, Chilaw"
3,28000,National Park,Warm,Car,"Yala National Park, Yala"
10,160000,Lakeside,Moderate,Van,"Sorabora Wewa, Mahiyanganaya"
6,18000,Mountains,Cool,Van,"Little Adam's Peak, Ella"
1,2300,City,Moderate,Van,"Colombo City, Colombo"
3,18000,Forest,Tropical,Bikes,"Badulla Forest, Badulla"
25,68000,Lakeside,Moderate,Public Transport,"Parakrama Samudra, Polonnaruwa"
1,140000,Lakeside,Moderate,Van,"Sorabora Wewa, Mahiyanganaya"
20,120000,National Park,Warm,Bikes,"Wasgamuwa National Park, Wasgamuwa"
1,24000,Mountains,Cool,Rosa Bus,"Knuckles Mountain Range, Kandy"
15,18000,Historical Site,Moderate,Rosa Bus,"Manavari Temple, Chilaw"
2,13000,Mountains,Cool,Car,"Devon Falls, Nuwara Eliya"
6,180000,Forest,Tropical,Bikes,"Dunhinda Falls, Badulla"
5,120000,Desert,Hot,Bikes,"Delft Island, Jaffna"
22,35000,National Park,Warm,Bikes,"Hikkaduwa National Park, Hikkaduwa"
9,25000,Mountains,Warm,Bikes,"Pidurangala, Sigiriya"
2,2300,Forest,Tropical,Bikes,"Kottawa Arboretum, Galle"
15,200000,Desert,Hot,Public Transport,"Delft Island, Jaffna"
25,68000,Beach,Warm,Public Transport,"Beruwala Beach, Beruwala"
9,20000,Mountains,Cool,Van,"Ravana Falls, Ella"
14,30000,Historical Site,Moderate,Rosa Bus,"Mihintale, Mihintale"
7,170000,Mountains,Cool,Public Transport,"Knuckles Mountain Range, Kandy"
6,13000,Mountains,Cool,Van,"Hunas Falls, Kandy"
2,120000,Forest,Tropical,Rosa Bus,"Kottawa Arboretum, Galle"
17,19000,Historical Site,Moderate,Public Transport,"Manavari Temple, Chilaw"
1,2500,City,Moderate,Van,"Kandy City, Kandy"
4,70000,Desert,Hot,Public Transport,"Delft Island, Jaffna"
17,140000,City,Cool,Public Transport,"Nuwara Eliya City, Nuwara Eliya"
11,85000,Mountains,Cool,Bikes,"Ravana Falls, Ella"
8,12000,Lakeside,Moderate,Van,"Victoria Reservoir, Kandy"
19,180000,Lakeside,Moderate,Bikes,"Handapanagala Lake, Wellawaya"
13,33000,Forest,Tropical,Public Transport,"Badulla Forest, Badulla"
14,60000,Historical Site,Moderate,Rosa Bus,"Mihintale, Mihintale"
20,100000,Desert,Hot,Rosa Bus,"Delft Island, Jaffna"
23,58000,Forest,Tropical,Public Transport,"Kottawa Arboretum, Galle"
6,22000,National Park,Cool,Public Transport,"Galway�s Land National Park, Nuwara Eliya"
20,110000,National Park,Warm,Rosa Bus,"Yala National Park, Yala"
5,48000,City,Moderate,Van,"Kurunegala City, Kurunegala"
10,17000,Mountains,Cool,Public Transport,"Knuckles Mountain Range, Kandy"
9,55000,Desert,Hot,Bikes,"Delft Island, Jaffna"
21,35000,Historical Site,Moderate,Rosa Bus,"Anuradhapura, Anuradhapura"
25,90000,National Park,Warm,Rosa Bus,"Kaudulla National Park, Polonnaruwa"
12,110000,Lakeside,Moderate,Public Transport,"Beira Lake, Colombo"
6,170000,Lakeside,Moderate,Van,"Sorabora Wewa, Mahiyanganaya"
19,35000,City,Cool,Bikes,"Nuwara Eliya City, Nuwara Eliya"
2,2200,Historical Site,Moderate,Car,"Manavari Temple, Chilaw"
7,38000,Lakeside,Moderate,Bikes,"Madu River, Balapitiya"
6,55000,Desert,Hot,Rosa Bus,"Delft Island, Jaffna"
6,35000,Historical Site,Moderate,Public Transport,"Galle Fort, Galle"
3,65000,Mountains,Cool,Public Transport,"Baker's Falls, Horton Plains"
8,16000,Beach,Warm,Public Transport,"Dickwella Beach, Dickwella"
25,40000,National Park,Warm,Public Transport,"Kaudulla National Park, Polonnaruwa"
4,50000,Beach,Warm,Van,"Weligama Beach, Weligama"
20,75000,Desert,Hot,Public Transport,"Delft Island, Jaffna"
14,80000,Beach,Warm,Rosa Bus,"Hiriketiya Beach, Dickwella"
12,17000,City,Moderate,Rosa Bus,"Ratnapura City, Ratnapura"
20,40000,Beach,Warm,Public Transport,"Passekudah Beach, Passekudah"
14,33000,Mountains,Cool,Public Transport,"Nine Arches Bridge, Ella"
6,50000,Historical Site,Moderate,Rosa Bus,"Manavari Temple, Chilaw"
11,75000,National Park,Warm,Bikes,"Hikkaduwa National Park, Hikkaduwa"
2,25000,City,Moderate,Car,"Matara City, Matara"
1,7000,Lakeside,Moderate,Car,"Madu River, Balapitiya"
4,50000,Historical Site,Moderate,Bikes,"Dambulla Cave Temple, Dambulla"
10,18000,Historical Site,Moderate,Public Transport,"Kuttam Pokuna, Anuradhapura"
1,140000,Beach,Warm,Public Transport,"Dickwella Beach, Dickwella"
11,20000,Forest,Tropical,Public Transport,"Dunhinda Falls, Badulla"
4,120000,Lakeside,Moderate,Rosa Bus,"Koggala Lake, Koggala"
10,28000,Historical Site,Moderate,Bikes,"Polonnaruwa, Polonnaruwa"
25,150000,Lakeside,Moderate,Rosa Bus,"Koggala Lake, Koggala"
13,200000,City,Moderate,Bikes,"Colombo City, Colombo"
2,140000,Forest,Tropical,Bikes,"Hiyare Reservoir, Galle"
9,75000,Beach,Warm,Public Transport,"Trincomalee Beach, Trincomalee"
5,130000,Desert,Hot,Bikes,"Delft Island, Jaffna"
3,9000,Desert,Hot,Rosa Bus,"Delft Island, Jaffna"
10,100000,Lakeside,Moderate,Public Transport,"Parakrama Samudra, Polonnaruwa"
3,14000,Beach,Warm,Van,"Unawatuna Beach, Galle"
25,35000,City,Moderate,Public Transport,"Badulla City, Badulla"
4,55000,Historical Site,Moderate,Rosa Bus,"Polonnaruwa, Polonnaruwa"
24,35000,Mountains,Cool,Public Transport,"Diyatalawa, Badulla"
16,38000,Forest,Tropical,Rosa Bus,"Makandawa Forest Reserve, Kitulgala"
4,22000,Beach,Warm,Van,"Marble Beach, Trincomalee"
23,58000,Forest,Tropical,Public Transport,"Meemure, Kandy"
4,20000,Mountains,Cool,Public Transport,"Ella Rock, Ella"
25,68000,Historical Site,Moderate,Public Transport,"Aluvihare Rock Temple, Matale"
20,68000,Historical Site,Moderate,Public Transport,"Polonnaruwa, Polonnaruwa"
1,3400,Historical Site,Moderate,Car,"Sigiriya Rock Fortress, Sigiriya"
24,35000,Beach,Warm,Bikes,"Mount Lavinia Beach, Mount Lavinia"
2,2200,Mountains,Warm,Public Transport,"Pidurangala, Sigiriya"
14,16000,Desert,Hot,Rosa Bus,"Delft Island, Jaffna"
14,110000,Desert,Hot,Bikes,"Delft Island, Jaffna"
16,58000,Lakeside,Moderate,Rosa Bus,"Sorabora Wewa, Mahiyanganaya"
7,15000,City,Moderate,Van,"Negombo City, Negombo"
8,90000,National Park,Warm,Van,"Wasgamuwa National Park, Wasgamuwa"
20,90000,National Park,Warm,Rosa Bus,"Udawalawe National Park, Udawalawe"
4,70000,National Park,Warm,Public Transport,"Hikkaduwa National Park, Hikkaduwa"
9,10500,Forest,Tropical,Van,"Hiyare Reservoir, Galle"
10,20000,Beach,Warm,Rosa Bus,"Mirissa Beach, Mirissa"
24,180000,Mountains,Cool,Public Transport,"Diyatalawa, Badulla"
13,90000,Mountains,Cool,Bikes,"Thotupola Kanda, Nuwara Eliya"
13,85000,National Park,Warm,Bikes,"Gal Oya National Park, Ampara"
4,12000,Beach,Warm,Car,"Weligama Beach, Weligama"
18,190000,Lakeside,Moderate,Rosa Bus,"Parakrama Samudra, Polonnaruwa"
14,35000,Historical Site,Moderate,Bikes,"Thuparamaya, Anuradhapura"
11,75000,City,Moderate,Rosa Bus,"Badulla City, Badulla"
5,12000,City,Moderate,Van,"Kurunegala City, Kurunegala"
24,50000,City,Hot,Public Transport,"Jaffna City, Jaffna"
6,55000,Historical Site,Moderate,Bikes,"Thuparamaya, Anuradhapura"
9,55000,Beach,Warm,Public Transport,"Hiriketiya Beach, Dickwella"
19,200000,Forest,Tropical,Rosa Bus,"Dunhinda Falls, Badulla"
16,200000,Beach,Warm,Public Transport,"Rekawa Beach, Hambantota"
11,40000,National Park,Warm,Van,"Kaudulla National Park, Polonnaruwa"
7,33000,Lakeside,Moderate,Bikes,"Victoria Reservoir, Kandy"
2,9000,Forest,Tropical,Rosa Bus,"Badulla Forest, Badulla"
3,15000,National Park,Warm,Bikes,"Hikkaduwa National Park, Hikkaduwa"
8,90000,Historical Site,Moderate,Bikes,"Sigiriya Rock Fortress, Sigiriya"
5,6000,City,Moderate,Rosa Bus,"Kurunegala City, Kurunegala"
12,110000,Mountains,Warm,Rosa Bus,"Ritigala, Ritigala"
9,200000,Lakeside,Moderate,Van,"Sorabora Wewa, Mahiyanganaya"
11,48000,National Park,Warm,Van,"Hikkaduwa National Park, Hikkaduwa"
7,24000,National Park,Warm,Van,"Wasgamuwa National Park, Wasgamuwa"
25,48000,Lakeside,Moderate,Public Transport,"Handapanagala Lake, Wellawaya"
17,110000,National Park,Warm,Bikes,"Wilpattu National Park, Wilpattu"
5,15000,Historical Site,Moderate,Rosa Bus,"Anuradhapura, Anuradhapura"
12,85000,Beach,Warm,Van,"Bentota Beach, Bentota"
3,48000,Lakeside,Moderate,Bikes,"Handapanagala Lake, Wellawaya"
7,48000,City,Moderate,Van,"Galle City, Galle"
13,110000,National Park,Warm,Public Transport,"Hikkaduwa National Park, Hikkaduwa"
5,180000,Lakeside,Moderate,Bikes,"Beira Lake, Colombo"
10,110000,Lakeside,Moderate,Bikes,"Madu River, Balapitiya"
25,30000,City,Moderate,Rosa Bus,"Kurunegala City, Kurunegala"
20,85000,City,Hot,Public Transport,"Jaffna City, Jaffna"
2,90000,Lakeside,Moderate,Van,"Koggala Lake, Koggala"
2,60000,Historical Site,Moderate,Rosa Bus,"Dambulla Cave Temple, Dambulla"
15,180000,City,Moderate,Public Transport,"Negombo City, Negombo"
1,75000,Beach,Warm,Rosa Bus,"Arugam Bay, Ampara"
19,150000,Historical Site,Moderate,Public Transport,"Polonnaruwa, Polonnaruwa"
5,160000,Forest,Tropical,Bikes,"Bopath Ella, Kuruwita"
3,44000,Desert,Hot,Van,"Delft Island, Jaffna"
1,2400,Desert,Hot,Public Transport,"Delft Island, Jaffna"
12,200000,City,Moderate,Van,"Negombo City, Negombo"
4,44000,Historical Site,Moderate,Car,"Polonnaruwa, Polonnaruwa"
9,20000,Forest,Tropical,Rosa Bus,"Sinharaja Forest Reserve, Deniyaya"
24,160000,Mountains,Cool,Rosa Bus,"Knuckles Mountain Range, Matale"
3,70000,Beach,Warm,Van,"Unawatuna Beach, Galle"
10,100000,Beach,Warm,Rosa Bus,"Polhena Beach, Matara"
5,8000,National Park,Warm,Public Transport,"Gal Oya National Park, Ampara"
7,55000,City,Moderate,Van,"Colombo City, Colombo"
5,12000,National Park,Warm,Rosa Bus,"Udawalawe National Park, Udawalawe"
3,160000,Historical Site,Moderate,Bikes,"Thuparamaya, Anuradhapura"
17,50000,City,Moderate,Public Transport,"Badulla City, Badulla"
11,13000,Forest,Tropical,Public Transport,"Hiyare Reservoir, Galle"
5,40000,City,Moderate,Bikes,"Kurunegala City, Kurunegala"
8,85000,City,Moderate,Bikes,"Kandy City, Kandy"
1,55000,Desert,Hot,Van,"Delft Island, Jaffna"
10,30000,Beach,Warm,Rosa Bus,"Hikkaduwa Beach, Hikkaduwa"
11,110000,Desert,Hot,Public Transport,"Delft Island, Jaffna"
22,68000,Forest,Tropical,Public Transport,"Sinharaja Forest Reserve, Deniyaya"
1,48000,Historical Site,Moderate,Car,"Anuradhapura, Anuradhapura"
17,110000,Historical Site,Moderate,Bikes,"Kuttam Pokuna, Anuradhapura"
13,55000,Forest,Tropical,Rosa Bus,"Makandawa Forest Reserve, Kitulgala"
18,100000,Mountains,Cool,Public Transport,"Little Adam's Peak, Ella"
8,25000,Lakeside,Moderate,Rosa Bus,"Victoria Reservoir, Kandy"
10,58000,Mountains,Cool,Bikes,"Ella Rock, Ella"
3,22000,Historical Site,Moderate,Car,"Dambulla Cave Temple, Dambulla"
11,70000,Historical Site,Moderate,Public Transport,"Sigiriya Rock Fortress, Sigiriya"
10,190000,City,Moderate,Van,"Kandy City, Kandy"
3,100000,Forest,Tropical,Bikes,"Kottawa Arboretum, Galle"
19,30000,City,Hot,Bikes,"Jaffna City, Jaffna"
