Area of Interest,Origin,Destination,Preferred Climate,Number of Travelers,Budget (in LKR),Preferred Accommodation,Trip Duration (days),District
Lakeside,Polonnaruwa,"Handapanagala Lake, Wellawaya",Moderate,7,50000,guest houses,2,Monaragala
Historical,Matara,"Abhayagiri Dagaba, Anuradhapura",Warm,23,100000,2-star hotel,1,Anuradhapura
Lakeside,Polonnaruwa,"Handapanagala Lake, Wellawaya",Moderate,13,50000,camping,6,Monaragala
Lakeside,Vavuniya,"Gal Oya, Ampara",Moderate,15,350000,5-star hotel,3,Ampara
Historical,Polonnaruwa,"Yapahuwa Rock Fortress, Yapahuwa",Warm,1,175000,4-star hotel,9,Kurunegala
Lakeside,Trincomalee,"Nuwara Wewa, Anuradhapura",Moderate,18,150000,2-star hotel,2,Anuradhapura
Historical,Kandy,"Yapahuwa Rock Fortress, Yapahuwa",Warm,19,88000,cottage,3,Kurunegala
Historical,Vavuniya,"Polonnaruwa Ruins, Polonnaruwa",Warm,4,200000,5-star hotel,9,Polonnaruwa
Cultural,Vavuniya,"Polonnaruwa Ruins, Polonnaruwa",Warm,7,25000,other,1,Polonnaruwa
Cultural,Anuradhapura,"Kataragama Temple, Kataragama",Warm,7,56000,villa,1,Hambantota
Cultural,Jaffna,"Sri Maha Bodhi, Anuradhapura",Warm,14,450000,5-star hotel,9,Anuradhapura
Lakeside,Matale,"Girithale Wewa, Polonnaruwa",Moderate,10,75000,villa,4,Polonnaruwa
Mountains,Polonnaruwa,"Kirigalpotta, Nuwara Eliya",Cool,22,65000,camping,6,Nuwara Eliya
Mountains,Matale,"Ravana Falls, Ella",Cool,21,90000,guest houses,5,Badulla
Cultural,Gampaha,"Temple of the Tooth, Kandy",Moderate,14,120000,3-star hotel,6,Kandy
Cultural,Puttalam,"Isurumuniya, Anuradhapura",Warm,23,95000,villa,4,Anuradhapura
Historical,Ampara,"Galle Fort, Galle",Warm,3,38000,villa,4,Galle
Historical,Matale,"Kelaniya Raja Maha Vihara, Kelaniya",Warm,10,120000,villa,9,Colombo
Cultural,Trincomalee,"Polonnaruwa Ruins, Polonnaruwa",Warm,17,60000,other,5,Polonnaruwa
Mountains,Kegalle,"Kabaragala, Nawalapitiya",Cool,2,17500,camping,8,Nuwara Eliya
Cultural,Matale,"Abhayagiri Dagaba, Anuradhapura",Warm,6,39000,other,9,Anuradhapura
Historical,Nuwara Eliya,"Kataragama Temple, Kataragama",Warm,8,27000,other,5,Hambantota
Beach,Hambantota,"Dickwella Beach, Dickwella",Warm,20,187000,villa,7,Matara
Beach,Trincomalee,"Dickwella Beach, Dickwella",Warm,20,210000,cottage,9,Matara
Forest,Kandy,"Dunhinda Falls, Badulla",Tropical,14,61000,cottage,4,Badulla
Lakeside,Polonnaruwa,"Nuwara Wewa, Anuradhapura",Moderate,14,24000,camping,3,Anuradhapura
Wildlife,Vavuniya,"Wasgomuwa National Park, Matale",Warm,1,12000,cottage,7,Matale
Wildlife,Batticaloa,"Wilpattu National Park, Anuradhapura",Warm,10,30000,camping,2,Anuradhapura
Cultural,Kalutara,"Lovamahapaya, Anuradhapura",Warm,13,146000,cottage,9,Anuradhapura
Historical,Galle,"Temple of the Tooth, Kandy",Moderate,11,55000,guest houses,4,Kandy
Cultural,Batticaloa,"Sri Maha Bodhi, Anuradhapura",Warm,13,85000,2-star hotel,1,Anuradhapura
Beach,Mannar,"Tangalle Beach, Tangalle",Warm,13,12000,3-star hotel,3,Hambantota
Lakeside,Trincomalee,"Kala Wewa, Anuradhapura",Moderate,21,73000,other,6,Anuradhapura
Mountains,Kilinochchi,"Kirigalpotta, Nuwara Eliya",Cool,24,207000,2-star hotel,9,Nuwara Eliya
Lakeside,Hambantota,"Kandy Lake, Kandy",Moderate,19,137000,3-star hotel,5,Kandy
Lakeside,Jaffna,"Sembuwatta Lake, Matale",Moderate,2,16000,camping,5,Matale
Beach,Galle,"Marble Beach, Trincomalee",Warm,8,91000,3-star hotel,7,Trincomalee
Beach,Jaffna,"Arugam Bay, Ampara",Warm,22,203000,guest houses,8,Ampara
Cultural,Monaragala,"Kataragama Temple, Kataragama",Warm,4,36000,3-star hotel,1,Hambantota
Wildlife,Jaffna,"Wilpattu National Park, Anuradhapura",Warm,5,72000,3-star hotel,2,Anuradhapura
Wildlife,Ampara,"Lunugamvehera National Park, Hambantota",Warm,4,16500,camping,6,Hambantota
Lakeside,Anuradhapura,"Gal Oya, Ampara",Moderate,12,40000,guest houses,4,Ampara
Historical,Monaragala,"Sri Maha Bodhi, Anuradhapura",Warm,20,450000,5-star hotel,2,Anuradhapura
Lakeside,Galle,"Nuwara Wewa, Anuradhapura",Moderate,4,25000,cottage,4,Anuradhapura
Beach,Kilinochchi,"Tangalle Beach, Tangalle",Warm,11,45000,guest houses,2,Hambantota
Beach,Anuradhapura,"Polhena Beach, Matara",Warm,12,78000,cottage,3,Matara
Cultural,Hambantota,"Gangaramaya Temple, Colombo",Warm,6,96000,4-star hotel,6,Colombo
Wildlife,Batticaloa,"Pigeon Island National Park, Trincomalee",Warm,3,68000,2-star hotel,3,Trincomalee
Historical,Kilinochchi,"Yapahuwa Rock Fortress, Yapahuwa",Warm,19,24000,camping,1,Kurunegala
Mountains,Mullaitivu,"Thotupola Kanda, Nuwara Eliya",Cool,16,108000,guest houses,7,Nuwara Eliya
Mountains,Galle,"Kabaragala, Nawalapitiya",Cool,12,140000,4-star hotel,4,Nuwara Eliya
Mountains,Kalutara,"Diyatalawa, Badulla",Cool,17,26000,guest houses,2,Badulla
Lakeside,Gampaha,"Madu River, Balapitiya",Moderate,6,79000,cottage,9,Galle
Forest,Matara,"Bopath Ella, Kuruwita",Tropical,10,50000,3-star hotel,4,Ratnapura
Lakeside,Monaragala,"Koggala Lake, Koggala",Moderate,13,127000,cottage,9,Galle
Wildlife,Ampara,"Sinharaja Forest Reserve, Galle",Warm,15,70000,other,9,Galle
Wildlife,Kegalle,"Wasgamuwa National Park, Matale",Warm,2,43000,cottage,9,Matale
Mountains,Galle,"Nine Arches Bridge, Ella",Cool,24,95000,guest houses,3,Badulla
Wildlife,Colombo,"Gal Oya National Park, Ampara",Warm,11,59000,cottage,4,Ampara
Historical,Kurunegala,"Kataragama Temple, Kataragama",Warm,15,202000,5-star hotel,6,Hambantota
Beach,Polonnaruwa,"Polhena Beach, Matara",Warm,6,78800,cottage,8,Matara
Lakeside,Polonnaruwa,"Bolgoda Lake, Colombo",Moderate,11,107000,cottage,9,Colombo
Lakeside,Mullaitivu,"Kala Wewa, Anuradhapura",Moderate,7,110000,3-star hotel,5,Anuradhapura
Cultural,Kalutara,"Mihintale, Anuradhapura",Warm,1,60000,villa,7,Anuradhapura
Lakeside,Colombo,"Koggala Lake, Koggala",Moderate,2,13000,camping,5,Galle
Cultural,Kilinochchi,"Ambuluwawa Temple, Gampola",Moderate,9,45000,3-star hotel,1,Kandy
Wildlife,Colombo,"Pigeon Island National Park, Trincomalee",Warm,20,138000,3-star hotel,4,Trincomalee
Cultural,Ratnapura,"Gangaramaya Temple, Colombo",Warm,2,46000,3-star hotel,3,Colombo
Mountains,Mullaitivu,"Knuckles Mountain Range, Matale",Cool,13,97000,2-star hotel,9,Matale
Cultural,Kandy,"Mihintale, Anuradhapura",Warm,21,500000,5-star hotel,6,Anuradhapura
Lakeside,Monaragala,"Tissa Wewa, Tissamaharama",Moderate,22,120000,2-star hotel,5,Hambantota
Historical,Anuradhapura,"Kelaniya Raja Maha Vihara, Kelaniya",Warm,6,30000,other,8,Colombo
Cultural,Trincomalee,"Galle Fort, Galle",Warm,24,50000,camping,7,Galle
Lakeside,Trincomalee,"Sorabora Wewa, Mahiyanganaya",Moderate,5,60000,villa,1,Badulla
Forest,Kegalle,"Sinharaja Forest Reserve, Deniyaya",Tropical,18,175000,5-star hotel,1,Matara
Mountains,Ratnapura,"Kalupahana, Badulla",Cool,14,54000,guest houses,5,Badulla
Wildlife,Batticaloa,"Horton Plains National Park, Nuwara Eliya",Cool,13,75000,2-star hotel,6,Nuwara Eliya
Historical,Mullaitivu,"Dambulla Cave Temple, Dambulla",Warm,6,14000,camping,3,Matale
Forest,Matale,"Makandawa Forest Reserve, Kitulgala",Tropical,13,105000,3-star hotel,7,Kegalle
Historical,Puttalam,"Ambuluwawa Temple, Gampola",Moderate,19,56000,4-star hotel,1,Kandy
Lakeside,Badulla,"Kala Wewa, Anuradhapura",Moderate,2,15000,other,4,Anuradhapura
Wildlife,Badulla,"Yala National Park, Hambantota",Warm,3,17000,other,5,Hambantota
Historical,Vavuniya,"Dambulla Cave Temple, Dambulla",Warm,18,105000,cottage,5,Matale
Beach,Badulla,"Hikkaduwa Beach, Hikkaduwa",Warm,16,92000,2-star hotel,6,Galle
Cultural,Kilinochchi,"Mihintale, Anuradhapura",Warm,14,47000,camping,7,Anuradhapura
Cultural,Kilinochchi,"Munneswaram Temple, Chilaw",Warm,1,15000,guest houses,9,Puttalam
Beach,Monaragala,"Jungle Beach, Unawatuna",Warm,2,22000,cottage,6,Galle
Lakeside,Ratnapura,"Koggala Lake, Koggala",Moderate,17,64000,other,6,Galle
Historical,Colombo,"Anuradhapura Sacred City, Anuradhapura",Warm,2,30000,cottage,7,Anuradhapura
Mountains,Trincomalee,"Thotupola Kanda, Nuwara Eliya",Cool,22,65000,3-star hotel,1,Nuwara Eliya
Historical,Badulla,"Jethawanaramaya, Anuradhapura",Warm,18,80000,4-star hotel,2,Anuradhapura
Wildlife,Puttalam,"Horton Plains National Park, Nuwara Eliya",Cool,12,52000,3-star hotel,3,Nuwara Eliya
Wildlife,Matale,"Udawalawe National Park, Ratnapura",Warm,9,43000,5-star hotel,2,Ratnapura
Forest,Trincomalee,"Bopath Ella, Kuruwita",Tropical,14,133000,3-star hotel,9,Ratnapura
Lakeside,Kalutara,"Nuwara Wewa, Anuradhapura",Moderate,15,12000,other,1,Anuradhapura
Lakeside,Monaragala,"Gal Oya, Ampara",Moderate,2,6000,other,5,Ampara
Lakeside,Gampaha,"Sembuwatta Lake, Matale",Moderate,24,500000,5-star hotel,5,Matale
Lakeside,Kilinochchi,"Randenigala Dam, Kandy",Moderate,11,75000,4-star hotel,2,Kandy
Cultural,Nuwara Eliya,"Dambulla Cave Temple, Dambulla",Warm,8,84000,cottage,9,Matale
Historical,Anuradhapura,"Galle Fort, Galle",Warm,24,157000,3-star hotel,4,Galle
Cultural,Kurunegala,"Abhayagiri Dagaba, Anuradhapura",Warm,22,190000,2-star hotel,9,Anuradhapura
Beach,Ampara,"Marble Beach, Trincomalee",Warm,19,279000,3-star hotel,9,Trincomalee
Forest,Monaragala,"Dunhinda Falls, Badulla",Tropical,3,90000,5-star hotel,4,Badulla
Wildlife,Anuradhapura,"Hurulu Eco Park, Polonnaruwa",Warm,12,69000,guest houses,6,Polonnaruwa
Forest,Kalutara,"Dunhinda Falls, Badulla",Tropical,17,42000,camping,6,Badulla
Wildlife,Anuradhapura,"Horton Plains National Park, Nuwara Eliya",Cool,5,38000,guest houses,8,Nuwara Eliya
Wildlife,Gampaha,"Gal Oya National Park, Ampara",Warm,12,61000,2-star hotel,5,Ampara
Wildlife,Gampaha,"Horton Plains National Park, Nuwara Eliya",Cool,5,34000,guest houses,7,Nuwara Eliya
Forest,Puttalam,"Namal Oya Forest, Ampara",Tropical,21,156000,villa,6,Ampara
Wildlife,Mannar,"Maduru Oya National Park, Polonnaruwa",Warm,20,230000,3-star hotel,8,Polonnaruwa
Forest,Nuwara Eliya,"Badulla Forest, Badulla",Tropical,3,50000,villa,2,Badulla
Historical,Matara,"Sigiriya, Sigiriya",Warm,9,25000,2-star hotel,2,Matale
Historical,Mullaitivu,"Kelaniya Raja Maha Vihara, Kelaniya",Warm,6,100000,5-star hotel,8,Colombo
Forest,Kandy,"Makandawa Forest Reserve, Kitulgala",Tropical,11,89000,3-star hotel,7,Kegalle
Wildlife,Jaffna,"Wasgamuwa National Park, Matale",Warm,17,15000,camping,2,Matale
Historical,Polonnaruwa,"Jethawanaramaya, Anuradhapura",Warm,11,148000,4-star hotel,7,Anuradhapura
Forest,Trincomalee,"Sinharaja Forest Reserve, Deniyaya",Tropical,18,65000,2-star hotel,4,Matara
Wildlife,Puttalam,"Yala National Park, Hambantota",Warm,1,20000,cottage,7,Hambantota
Beach,Puttalam,"Beruwala Beach, Beruwala",Warm,3,21000,villa,5,Kalutara
Forest,Vavuniya,"Makandawa Forest Reserve, Kitulgala",Tropical,8,60000,4-star hotel,4,Kegalle
Historical,Jaffna,"Abhayagiri Dagaba, Anuradhapura",Warm,15,72000,2-star hotel,5,Anuradhapura
Mountains,Ampara,"Ella Rock, Ella",Cool,7,75000,4-star hotel,7,Badulla
Historical,Kurunegala,"Kelaniya Raja Maha Vihara, Kelaniya",Warm,20,149000,villa,6,Colombo
Historical,Gampaha,"Polonnaruwa Ruins, Polonnaruwa",Warm,6,54000,5-star hotel,4,Polonnaruwa
Mountains,Colombo,"Knuckles Mountain Range, Matale",Cool,8,69000,villa,7,Matale
Cultural,Matara,"Abhayagiri Dagaba, Anuradhapura",Warm,15,50000,camping,7,Anuradhapura
Beach,Matara,"Rekawa Beach, Hambantota",Warm,5,12000,camping,4,Hambantota
Beach,Puttalam,"Arugam Bay, Ampara",Warm,1,6000,other,5,Ampara
Forest,Jaffna,"Dunhinda Falls, Badulla",Tropical,21,280000,4-star hotel,8,Badulla
Lakeside,Kandy,"Kala Wewa, Anuradhapura",Moderate,16,36000,3-star hotel,1,Anuradhapura
Wildlife,Mannar,"Gal Oya National Park, Ampara",Warm,10,41000,4-star hotel,2,Ampara
Cultural,Nuwara Eliya,"Yapahuwa Rock Fortress, Yapahuwa",Warm,17,99000,guest houses,7,Kurunegala
Mountains,Kegalle,"Hunas Falls, Kandy",Cool,9,97000,4-star hotel,6,Kandy
Mountains,Kegalle,"Adam's Peak, Hatton",Cool,11,8000,camping,2,Nuwara Eliya
Mountains,Batticaloa,"Kabaragala, Nawalapitiya",Cool,21,35000,4-star hotel,1,Nuwara Eliya
Mountains,Polonnaruwa,"Kalupahana, Badulla",Cool,2,5000,3-star hotel,2,Badulla
Cultural,Jaffna,"Sigiriya, Sigiriya",Warm,8,98000,villa,8,Matale
Wildlife,Puttalam,"Yala National Park, Hambantota",Warm,15,230000,5-star hotel,6,Hambantota
Beach,Hambantota,"Weligama Beach, Weligama",Warm,16,207000,3-star hotel,9,Matara
Wildlife,Hambantota,"Hurulu Eco Park, Polonnaruwa",Warm,8,23000,3-star hotel,2,Polonnaruwa
Forest,Trincomalee,"Makandawa Forest Reserve, Kitulgala",Tropical,9,24000,camping,7,Kegalle
Lakeside,Kalutara,"Bolgoda Lake, Colombo",Moderate,8,53000,4-star hotel,4,Colombo
Lakeside,Ratnapura,"Victoria Dam, Kandy",Moderate,9,32000,camping,8,Kandy
Lakeside,Anuradhapura,"Beira Lake, Colombo",Moderate,5,20000,villa,3,Colombo
Forest,Hambantota,"Kanneliya Forest Reserve, Galle",Tropical,5,19000,5-star hotel,2,Galle
Lakeside,Puttalam,"Parakrama Samudraya, Polonnaruwa",Moderate,15,130000,cottage,8,Polonnaruwa
Wildlife,Kandy,"Wasgomuwa National Park, Matale",Warm,5,45000,4-star hotel,5,Matale
Cultural,Monaragala,"Thuparamaya, Anuradhapura",Warm,18,130000,3-star hotel,5,Anuradhapura
Beach,Jaffna,"Passekudah Beach, Passekudah",Warm,9,22000,camping,4,Batticaloa
Wildlife,Ampara,"Sinharaja Forest Reserve, Galle",Warm,20,90000,5-star hotel,2,Galle
Beach,Kegalle,"Arugam Bay, Ampara",Warm,19,228000,villa,7,Ampara
Mountains,Matale,"Ella Rock, Ella",Cool,12,108000,cottage,9,Badulla
Mountains,Monaragala,"Baker's Falls, Horton Plains",Cool,11,21000,4-star hotel,1,Nuwara Eliya
Forest,Colombo,"Kottawa Arboretum, Galle",Tropical,17,160000,villa,9,Galle
Forest,Batticaloa,"Hiyare Reservoir, Galle",Tropical,11,81000,villa,7,Galle
Historical,Ampara,"Mihintale, Anuradhapura",Warm,12,60000,cottage,4,Anuradhapura
Cultural,Puttalam,"Lovamahapaya, Anuradhapura",Warm,24,69000,villa,2,Anuradhapura
Beach,Kalutara,"Weligama Beach, Weligama",Warm,19,82000,villa,3,Matara
Wildlife,Polonnaruwa,"Sinharaja Forest Reserve, Galle",Warm,15,35000,cottage,2,Galle
Cultural,Colombo,"Dambulla Cave Temple, Dambulla",Warm,12,81000,3-star hotel,5,Matale
Mountains,Puttalam,"Knuckles Mountain Range, Kandy",Cool,2,9000,camping,3,Kandy
Beach,Puttalam,"Marble Beach, Trincomalee",Warm,21,183000,4-star hotel,4,Trincomalee
Beach,Anuradhapura,"Rekawa Beach, Hambantota",Warm,23,206000,4-star hotel,5,Hambantota
Beach,Colombo,"Marble Beach, Trincomalee",Warm,6,20000,other,4,Trincomalee
Wildlife,Nuwara Eliya,"Maduru Oya National Park, Polonnaruwa",Warm,3,40000,3-star hotel,1,Polonnaruwa
Forest,Ampara,"Makandawa Forest Reserve, Kitulgala",Tropical,5,25500,3-star hotel,2,Kegalle
Lakeside,Hambantota,"Girithale Wewa, Polonnaruwa",Moderate,23,153000,2-star hotel,8,Polonnaruwa
Cultural,Mullaitivu,"Anuradhapura Sacred City, Anuradhapura",Warm,8,34000,villa,3,Anuradhapura
Lakeside,Kalutara,"Tissa Wewa, Tissamaharama",Moderate,4,36000,cottage,9,Hambantota
Wildlife,Kilinochchi,"Kaudulla National Park, Polonnaruwa",Warm,4,19000,guest houses,1,Polonnaruwa
Beach,Ratnapura,"Tangalle Beach, Tangalle",Warm,15,259000,4-star hotel,9,Hambantota
Lakeside,Batticaloa,"Victoria Dam, Kandy",Moderate,9,113000,4-star hotel,7,Kandy
Wildlife,Kilinochchi,"Udawalawe National Park, Ratnapura",Warm,18,121000,2-star hotel,7,Ratnapura
Forest,Nuwara Eliya,"Sinharaja Forest Reserve, Deniyaya",Tropical,7,56000,3-star hotel,6,Matara
Wildlife,Kegalle,"Gal Oya National Park, Ampara",Warm,21,129000,guest houses,6,Ampara
Lakeside,Kegalle,"Randenigala Dam, Kandy",Moderate,14,50000,2-star hotel,4,Kandy
Wildlife,Kilinochchi,"Bundala National Park, Hambantota",Warm,6,61000,4-star hotel,5,Hambantota
Forest,Puttalam,"Bopath Ella, Kuruwita",Tropical,3,25000,guest houses,2,Ratnapura
Forest,Kurunegala,"Meemure, Kandy",Tropical,20,75000,3-star hotel,3,Kandy
Wildlife,Puttalam,"Horton Plains National Park, Nuwara Eliya",Cool,1,12000,2-star hotel,8,Nuwara Eliya
Forest,Trincomalee,"Kanneliya Forest Reserve, Galle",Tropical,15,92000,2-star hotel,8,Galle
Wildlife,Ampara,"Yala National Park, Hambantota",Warm,4,20000,2-star hotel,5,Hambantota
Cultural,Kalutara,"Munneswaram Temple, Chilaw",Warm,18,55000,camping,8,Puttalam
Wildlife,Hambantota,"Horton Plains National Park, Nuwara Eliya",Cool,17,41000,camping,5,Nuwara Eliya
Wildlife,Monaragala,"Wasgomuwa National Park, Matale",Warm,22,237000,4-star hotel,6,Matale
Mountains,Ratnapura,"Knuckles Mountain Range, Kandy",Cool,16,104000,cottage,6,Kandy
Forest,Polonnaruwa,"Hiyare Reservoir, Galle",Tropical,22,93000,4-star hotel,3,Galle
Historical,Kegalle,"Yapahuwa Rock Fortress, Yapahuwa",Warm,21,245000,4-star hotel,7,Kurunegala
Historical,Galle,"Isurumuniya, Anuradhapura",Warm,5,21000,villa,3,Anuradhapura
Historical,Anuradhapura,"Yapahuwa Rock Fortress, Yapahuwa",Warm,10,25000,2-star hotel,3,Kurunegala
Lakeside,Vavuniya,"Kandy Lake, Kandy",Moderate,19,71000,cottage,3,Kandy
Cultural,Anuradhapura,"Dambulla Cave Temple, Dambulla",Warm,14,75000,villa,4,Matale
Beach,Kalutara,"Marble Beach, Trincomalee",Warm,24,261000,4-star hotel,5,Trincomalee
Wildlife,Galle,"Udawalawe National Park, Ratnapura",Warm,15,14000,2-star hotel,1,Ratnapura
Beach,Kalutara,"Trincomalee Beach, Trincomalee",Warm,2,31000,3-star hotel,9,Trincomalee
Mountains,Colombo,"Little Adam's Peak, Ella",Cool,11,41000,other,7,Badulla
Forest,Badulla,"Kithulgala Forest Reserve, Kegalle",Tropical,17,57000,camping,8,Kegalle
Beach,Mullaitivu,"Hiriketiya Beach, Dickwella",Warm,16,31000,guest houses,2,Matara
Forest,Kegalle,"Dunhinda Falls, Badulla",Tropical,6,20000,camping,8,Badulla
Lakeside,Ampara,"Girithale Wewa, Polonnaruwa",Moderate,6,70000,4-star hotel,7,Polonnaruwa
Cultural,Badulla,"Yapahuwa Rock Fortress, Yapahuwa",Warm,24,20000,guest houses,1,Kurunegala
Wildlife,Polonnaruwa,"Gal Oya National Park, Ampara",Warm,16,369000,5-star hotel,9,Ampara
Forest,Kalutara,"Makandawa Forest Reserve, Kitulgala",Tropical,17,16000,camping,1,Kegalle
Forest,Kilinochchi,"Makandawa Forest Reserve, Kitulgala",Tropical,4,15000,other,3,Kegalle
Wildlife,Mannar,"Gal Oya National Park, Ampara",Warm,5,100000,5-star hotel,3,Ampara
Historical,Mannar,"Sri Maha Bodhi, Anuradhapura",Warm,17,171000,3-star hotel,7,Anuradhapura
Historical,Kalutara,"Ambuluwawa Temple, Gampola",Moderate,16,37000,cottage,2,Kandy
Mountains,Batticaloa,"Kabaragala, Nawalapitiya",Cool,4,20000,camping,2,Nuwara Eliya
Mountains,Monaragala,"Horton Plains National Park, Nuwara Eliya",Cool,6,81000,4-star hotel,7,Nuwara Eliya
Historical,Kalutara,"Sri Maha Bodhi, Anuradhapura",Warm,18,259000,5-star hotel,6,Anuradhapura
Lakeside,Polonnaruwa,"Sembuwatta Lake, Matale",Moderate,24,376000,5-star hotel,7,Matale
Mountains,Matale,"Devon Falls, Nuwara Eliya",Cool,17,91000,villa,4,Nuwara Eliya
Wildlife,Kandy,"Hurulu Eco Park, Polonnaruwa",Warm,13,93000,villa,5,Polonnaruwa
Beach,Batticaloa,"Trincomalee Beach, Trincomalee",Warm,12,28000,camping,4,Trincomalee
Beach,Kegalle,"Tangalle Beach, Tangalle",Warm,2,23000,3-star hotel,8,Hambantota
Cultural,Kegalle,"Mihintale, Anuradhapura",Warm,1,15000,villa,1,Anuradhapura
Beach,Galle,"Passekudah Beach, Passekudah",Warm,2,20000,other,9,Batticaloa
Historical,Puttalam,"Kelaniya Raja Maha Vihara, Kelaniya",Warm,15,25000,guest houses,2,Colombo
Beach,Matale,"Tangalle Beach, Tangalle",Warm,4,10000,villa,1,Hambantota
Beach,Gampaha,"Polhena Beach, Matara",Warm,15,71000,other,7,Matara
Wildlife,Mannar,"Udawalawe National Park, Ratnapura",Warm,2,22000,cottage,9,Ratnapura
Lakeside,Trincomalee,"Parakrama Samudraya, Polonnaruwa",Moderate,16,35000,cottage,2,Polonnaruwa
Cultural,Matara,"Galle Fort, Galle",Warm,13,21000,villa,1,Galle
